glyph_name,ps_name,USV,sort_final,Dir,GID,Status,Font,Feature
.notdef,.notdef,,0,,4,Req,"ESM, ESN, EM, AAA",
.null,.null,,1,,1,Req,"ESM, ESN, EM, AAA",
nonmarkingreturn,nonmarkingreturn,,2,,2,Req,"ESM, ESN, EM, AAA",
space,space,20,3.1,,3,ReqImport,"ESM, ESN, EM, AAA",
space.latn,space.latn,,3.2,,,Latn,,latn
tab,tab,,4,,,Req,,
exclam,exclam,21,5.1,,6,ReqImport,"ESM, ESN, EM, AAA",
exclam.latn,exclam.latn,,5.2,,,Latn,,latn
quotedbl,quotedbl,22,6,,7,ReqImport,"ESM, ESN, EM, AAA",
numbersign,numbersign,23,7.1,,8,ReqImport,"ESM, ESN, EM, AAA",
numbersign.latn,numbersign.latn,,7.2,,,Latn,,latn
dollar,dollar,24,8,,9,ReqImport,"ESM, ESN, EM, AAA",
dollar.latn,dollar.latn,,8.1,,,Latn,,latn
percent,percent,25,9.1,,10,ReqImport,"ESM, ESN, EM, AAA",
percent.latn,percent.latn,,9.2,,,Latn,,latn
ampersand,ampersand,26,10,,11,Req,"ESM, ESN, EM, AAA",
quotesingle,quotesingle,27,11,,12,Req,"ESM, ESN, EM, AAA",
parenleft,parenleft,28,12.1,,13,ReqImport,"ESM, ESN, EM, AAA",
parentleft.latn,parentleft.latn,,12.2,,,Latn,,latn
parenright,parenright,29,13.1,,14,ReqImport,"ESM, ESN, EM, AAA",
parenright.latn,parenright.latn,,13.2,,,Latn,,latn
asterisk,asterisk,002A,14.1,,15,ReqImport,"ESM, ESN, EM, AAA",
asterisk.latn,asterisk.latn,,14.2,,,Latn,,latn
plus,plus,002B,15.1,,16,ReqImport,"ESM, ESN, EM, AAA",
plus.latn,plus.latn,,15.2,,,Latn,,latn
comma,comma,002C,16,,17,ReqImport,"ESM, ESN, EM, AAA",
hyphentwo,uni2010,2010,17,,18,Req,"ESM, ESN, EM, AAA",
hyphen,hyphen,002D,18.1,,,ReqImport,,
hyphen.latn,hyphen.latn,,18.2,,,Latn,,latn
period,period,002E,19.1,,19,ReqImport,"ESM, ESN, EM, AAA",
period.latn,period.latn,,19.2,,,Latn,,latn
slash,slash,002F,20.1,,20,ReqImport,"ESM, ESN, EM, AAA",
slash.latn,slash.latn,,20.2,,,Latn,,latn
zero,zero,30,30.1,,21,ReqImport,"ESM, ESN, EM, AAA",
zero.latn,zero.latn,,30.2,,,Latn,,latn
one,one,31,31.1,,22,ReqImport,"ESM, ESN, EM, AAA",
one.latn,one.latn,,31.2,,,Latn,,latn
two,two,32,32.1,,23,ReqImport,"ESM, ESN, EM, AAA",
two.latn,two.latn,,32.2,,,Latn,,latn
three,three,33,33.1,,24,ReqImport,"ESM, ESN, EM, AAA",
three.latn,three.latn,,33.2,,,Latn,,latn
four,four,34,34.1,,25,ReqImport,"ESM, ESN, EM, AAA",
four.latn,four.latn,,34.2,,,Latn,,latn
five,five,35,35.1,,26,ReqImport,"ESM, ESN, EM, AAA",
five.latn,five.latn,,35.2,,,Latn,,latn
six,six,36,36.1,,27,ReqImport,"ESM, ESN, EM, AAA",
six.latn,six.latn,,36.2,,,Latn,,latn
seven,seven,37,37.1,,28,ReqImport,"ESM, ESN, EM, AAA",
seven.latn,seven.latn,,37.2,,,Latn,,latn
eight,eight,38,38.1,,29,ReqImport,"ESM, ESN, EM, AAA",
eight.latn,eight.latn,,38.2,,,Latn,,latn
nine,nine,39,39.1,,30,ReqImport,"ESM, ESN, EM, AAA",
nine.latn,nine.latn,,39.2,,,Latn,,latn
colon,colon,003A,40.1,,31,ReqImport,"ESM, ESN, EM, AAA",
colon.latn,colon.latn,,40.2,,,Latn,,latn
semicolon,semicolon,003B,41,,32,Req,"ESM, ESN, EM, AAA",
less,less,003C,42.1,,33,ReqImport,"ESM, ESN, EM, AAA",
less.latn,less.latn,,42.2,,,Latn,,latn
equal,equal,003D,43.1,,34,ReqImport,"ESM, ESN, EM, AAA",
equal.latn,equal.latn,,43.2,,,Latn,,latn
greater,greater,003E,44.1,,35,ReqImport,"ESM, ESN, EM, AAA",
greater.latn,greater.latn,,44.2,,,Latn,,latn
question,question,003F,45,,36,Req,"ESM, ESN, EM, AAA",
at,at,40,46,,37,Req,"ESM, ESN, EM, AAA",
A,A,41,50,,38,Req,"ESM, ESN, EM, AAA",
B,B,42,51,,39,Req,"ESM, ESN, EM, AAA",
C,C,43,52,,40,Req,"ESM, ESN, EM, AAA",
D,D,44,53,,41,Req,"ESM, ESN, EM, AAA",
E,E,45,54,,42,Req,"ESM, ESN, EM, AAA",
F,F,46,55,,43,Req,"ESM, ESN, EM, AAA",
G,G,47,56,,44,Req,"ESM, ESN, EM, AAA",
H,H,48,57,,45,Req,"ESM, ESN, EM, AAA",
I,I,49,58,,46,Req,"ESM, ESN, EM, AAA",
J,J,004A,59,,47,Req,"ESM, ESN, EM, AAA",
K,K,004B,60,,48,Req,"ESM, ESN, EM, AAA",
L,L,004C,61,,49,Req,"ESM, ESN, EM, AAA",
M,M,004D,62,,50,Req,"ESM, ESN, EM, AAA",
N,N,004E,63,,51,Req,"ESM, ESN, EM, AAA",
O,O,004F,64,,52,Req,"ESM, ESN, EM, AAA",
P,P,50,65,,53,Req,"ESM, ESN, EM, AAA",
Q,Q,51,66,,54,Req,"ESM, ESN, EM, AAA",
R,R,52,67,,55,Req,"ESM, ESN, EM, AAA",
S,S,53,68,,56,Req,"ESM, ESN, EM, AAA",
T,T,54,69,,57,Req,"ESM, ESN, EM, AAA",
U,U,55,70,,58,Req,"ESM, ESN, EM, AAA",
V,V,56,71,,59,Req,"ESM, ESN, EM, AAA",
W,W,57,72,,60,Req,"ESM, ESN, EM, AAA",
X,X,58,73,,61,Req,"ESM, ESN, EM, AAA",
Y,Y,59,74,,62,Req,"ESM, ESN, EM, AAA",
Z,Z,005A,75,,63,Req,"ESM, ESN, EM, AAA",
bracketleft,bracketleft,005B,76,,64,Req,"ESM, ESN, EM, AAA",
bracketright,bracketright,005D,77,,66,Req,"ESM, ESN, EM, AAA",
backslash,backslash,005C,78,,65,Req,"ESM, ESN, EM, AAA",
underscore,underscore,005F,79,,68,Req,"ESM, ESN, EM, AAA",
a,a,61,80,,70,Req,"ESM, ESN, EM, AAA",
b,b,62,81,,71,Req,"ESM, ESN, EM, AAA",
c,c,63,82,,72,Req,"ESM, ESN, EM, AAA",
d,d,64,83,,73,Req,"ESM, ESN, EM, AAA",
e,e,65,84,,74,Req,"ESM, ESN, EM, AAA",
f,f,66,85,,75,Req,"ESM, ESN, EM, AAA",
g,g,67,86,,76,Req,"ESM, ESN, EM, AAA",
h,h,68,87,,77,Req,"ESM, ESN, EM, AAA",
i,i,69,88,,78,Req,"ESM, ESN, EM, AAA",
j,j,006A,89,,79,Req,"ESM, ESN, EM, AAA",
k,k,006B,90,,80,Req,"ESM, ESN, EM, AAA",
l,l,006C,91,,81,Req,"ESM, ESN, EM, AAA",
m,m,006D,92,,82,Req,"ESM, ESN, EM, AAA",
n,n,006E,93,,83,Req,"ESM, ESN, EM, AAA",
o,o,006F,94,,84,Req,"ESM, ESN, EM, AAA",
p,p,70,95,,85,Req,"ESM, ESN, EM, AAA",
q,q,71,96,,86,Req,"ESM, ESN, EM, AAA",
r,r,72,97,,87,Req,"ESM, ESN, EM, AAA",
s,s,73,98,,88,Req,"ESM, ESN, EM, AAA",
t,t,74,99,,89,Req,"ESM, ESN, EM, AAA",
u,u,75,100,,90,Req,"ESM, ESN, EM, AAA",
v,v,76,101,,91,Req,"ESM, ESN, EM, AAA",
w,w,77,102,,92,Req,"ESM, ESN, EM, AAA",
x,x,78,103,,93,Req,"ESM, ESN, EM, AAA",
y,y,79,104,,94,Req,"ESM, ESN, EM, AAA",
z,z,007A,105,,95,Req,"ESM, ESN, EM, AAA",
braceleft,braceleft,007B,110,,96,Req,"ESM, ESN, EM, AAA",
braceright,braceright,007D,111,,98,Req,"ESM, ESN, EM, AAA",
bar,bar,007C,112,,97,Req,"ESM, ESN, EM, AAA",
asciitilde,asciitilde,007E,113,,99,Req,"ESM, ESN, EM, AAA",
nbspace,uni00A0,00A0,114,,555,ReqImport,ESN & EM,
exclamdown,exclamdown,00A1,115,,100,Req,"ESM, ESN, EM, AAA",
cent,cent,00A2,116,,101,Req,"ESM, ESN, EM, AAA",
sterling,sterling,00A3,117,,102,Req,"ESM, ESN, EM, AAA",
currency,currency,00A4,118,,103,Req,"ESM, ESN, EM, AAA",
yen,yen,00A5,119,,104,Req,"ESM, ESN, EM, AAA",
brokenbar,brokenbar,00A6,120,,105,Req,"ESM, ESN, EM, AAA",
section,section,00A7,121,,106,Req,"ESM, ESN, EM, AAA",
copyright,copyright,00A9,122,,108,Req,"ESM, ESN, EM, AAA",
registered,registered,00AE,123,,112,Req,"ESM, ESN, EM, AAA",
ordfeminine,ordfeminine,00AA,124,,109,Req,"ESM, ESN, EM, AAA",
guillemetleft,guillemotleft,00AB,125,,110,Req,"ESM, ESN, EM, AAA",
logicalnot,logicalnot,00AC,126,,111,Req,"ESM, ESN, EM, AAA",
softhyphen,uni00AD,00AD,127,,,Req,,
degree,degree,00B0,128,,114,Req,"ESM, ESN, EM, AAA",
plusminus,plusminus,00B1,129,,115,Req,"ESM, ESN, EM, AAA",
asciicircum,asciicircum,005E,130,,67,Req,"ESM, ESN, EM, AAA",
micro,uni00B5,00B5,131,,,Req,,
paragraph,paragraph,00B6,132,,120,Req,"ESM, ESN, EM, AAA",
periodcentered,periodcentered,00B7,133,,556,Req,ESN & EM,
ordmasculine,ordmasculine,00BA,134,,124,Req,"ESM, ESN, EM, AAA",
guillemetright,guillemotright,00BB,135,,125,Req,"ESM, ESN, EM, AAA",
onesuperior,onesuperior,00B9,136,,123,Req,"ESM, ESN, EM, AAA",
twosuperior,twosuperior,00B2,137,,116,Req,"ESM, ESN, EM, AAA",
threesuperior,threesuperior,00B3,138,,117,Req,"ESM, ESN, EM, AAA",
foursuperior,uni2074,2074,139,,,Needed for component,,
onehalf,onehalf,00BD,140,,127,Req,"ESM, ESN, EM, AAA",
onequarter,onequarter,00BC,141,,126,Req,"ESM, ESN, EM, AAA",
threequarters,threequarters,00BE,142,,128,Req,"ESM, ESN, EM, AAA",
questiondown,questiondown,00BF,143,,129,Req,"ESM, ESN, EM, AAA",
Agrave,Agrave,00C0,150,,130,Req,"ESM, ESN, EM, AAA",
Aacute,Aacute,00C1,151,,131,Req,"ESM, ESN, EM, AAA",
Acircumflex,Acircumflex,00C2,152,,132,Req,"ESM, ESN, EM, AAA",
Atilde,Atilde,00C3,153,,133,Req,"ESM, ESN, EM, AAA",
Adieresis,Adieresis,00C4,154,,134,Req,"ESM, ESN, EM, AAA",
Aring,Aring,00C5,155,,135,Req,"ESM, ESN, EM, AAA",
AE,AE,00C6,156,,136,Req,"ESM, ESN, EM, AAA",
Ccedilla,Ccedilla,00C7,157,,137,Req,"ESM, ESN, EM, AAA",
Egrave,Egrave,00C8,158,,138,Req,"ESM, ESN, EM, AAA",
Eacute,Eacute,00C9,159,,139,Req,"ESM, ESN, EM, AAA",
Ecircumflex,Ecircumflex,00CA,160,,140,Req,"ESM, ESN, EM, AAA",
Edieresis,Edieresis,00CB,161,,141,Req,"ESM, ESN, EM, AAA",
Igrave,Igrave,00CC,162,,142,Req,"ESM, ESN, EM, AAA",
Iacute,Iacute,00CD,163,,143,Req,"ESM, ESN, EM, AAA",
Icircumflex,Icircumflex,00CE,164,,144,Req,"ESM, ESN, EM, AAA",
Idieresis,Idieresis,00CF,165,,145,Req,"ESM, ESN, EM, AAA",
Eth,Eth,00D0,166,,146,Req,"ESM, ESN, EM, AAA",
Ntilde,Ntilde,00D1,167,,147,Req,"ESM, ESN, EM, AAA",
Ograve,Ograve,00D2,168,,148,Req,"ESM, ESN, EM, AAA",
Oacute,Oacute,00D3,169,,149,Req,"ESM, ESN, EM, AAA",
Ocircumflex,Ocircumflex,00D4,170,,150,Req,"ESM, ESN, EM, AAA",
Otilde,Otilde,00D5,171,,151,Req,"ESM, ESN, EM, AAA",
Odieresis,Odieresis,00D6,172,,152,Req,"ESM, ESN, EM, AAA",
multiply,multiply,00D7,173,,153,Req,"ESM, ESN, EM, AAA",
Oslash,Oslash,00D8,174,,154,Req,"ESM, ESN, EM, AAA",
Ugrave,Ugrave,00D9,175,,155,Req,"ESM, ESN, EM, AAA",
Uacute,Uacute,00DA,176,,156,Req,"ESM, ESN, EM, AAA",
Ucircumflex,Ucircumflex,00DB,177,,157,Req,"ESM, ESN, EM, AAA",
Udieresis,Udieresis,00DC,178,,158,Req,"ESM, ESN, EM, AAA",
Yacute,Yacute,00DD,179,,159,Req,"ESM, ESN, EM, AAA",
Thorn,Thorn,00DE,180,,160,Req,"ESM, ESN, EM, AAA",
germandbls,germandbls,00DF,181,,161,Req,"ESM, ESN, EM, AAA",
agrave,agrave,`00E0,182,,162,Req,"ESM, ESN, EM, AAA",
aacute,aacute,`00E1,183,,163,Req,"ESM, ESN, EM, AAA",
acircumflex,acircumflex,`00E2,184,,164,Req,"ESM, ESN, EM, AAA",
atilde,atilde,`00E3,185,,165,Req,"ESM, ESN, EM, AAA",
adieresis,adieresis,`00E4,186,,166,Req,"ESM, ESN, EM, AAA",
aring,aring,`00E5,187,,167,Req,"ESM, ESN, EM, AAA",
ae,ae,`00E6,188,,168,Req,"ESM, ESN, EM, AAA",
ccedilla,ccedilla,`00E7,189,,169,Req,"ESM, ESN, EM, AAA",
egrave,egrave,`00E8,190,,170,Req,"ESM, ESN, EM, AAA",
